"iContactID","sMailname","iNGPid","sFirstname","sLastname"
"4368334","Hon. Edolphus Towns","5176","Edolphus","Towns"
"3992404","Hon. Barney Frank","12081","Barney","Frank"
"3992440","Hon. Nick Rahall","12091","Nick","Rahall"
"3995850","Hon. Jim Cooper","12771","Jim","Cooper"
"4098599","Hon. George Miller","25061","George","Miller"
"4102558","Hon. Martin Meehan","25466","Martin","Meehan"
"4107848","Hon. John Tierney","26008","John","Tierney"
"4120025","Hon. Ron Kind","27253","Ron","Kind"
"4277868","Hon. Mike Thompson","43014","Mike","Thompson"
"4279594","Hon. Tammy Baldwin","43188","Tammy","Baldwin"
"4279888","Hon. Neil Abercrombie","43218","Neil","Abercrombie"
"4279909","Hon. Tom Allen","43220","Tom","Allen"
"4279960","Hon. Xavier Becerra","43225","Xavier","Becerra"
"4279980","Hon. Howard Berman","43227","Howard","Berman"
"4280001","Hon. Sanford Bishop","43229","Sanford","Bishop"
"4280083","Hon. Corrine Brown","43237","Corrine","Brown"
"4280257","Hon. Danny Davis","43254","Danny","Davis"
"4280268","Hon. Peter DeFazio","43255","Peter","DeFazio"
"4280279","Hon. Diana DeGette","43256","Diana","DeGette"
"4280330","Hon. John Dingell","43261","John","Dingell"
"4280371","Hon. Chet Edwards","43265","Chet","Edwards"
"4280392","Hon. Anna Eshoo","43267","Anna","Eshoo"
"4280403","Hon. Bob Etheridge","43268","Bob","Etheridge"
"4280454","Hon. Robert Filner","43273","Robert","Filner"
"4280554","Hon. Bart Gordon","43283","Bart","Gordon"
"4280565","Hon. Gene Green","43284","Gene","Green"
"4280605","Hon. Jane Harman","43288","Jane","Harman"
"4280616","Hon. Alcee Hastings","43289","Alcee","Hastings"
"4280686","Hon. Steny Hoyer","43296","Steny","Hoyer"
"4280760","Hon. David Wu","43303","David","Wu"
"4281099","Hon. Paul Kanjorski","43337","Paul","Kanjorski"
"4281120","Hon. Patrick Kennedy","43339","Patrick","Kennedy"
"4281131","Hon. Dale Kildee","43340","Dale","Kildee"
"4281204","Hon. Tom Lantos","43347","Tom","Lantos"
"4281245","Hon. Zoe Lofgren","43351","Zoe","Lofgren"
"4281256","Hon. Nita Lowey","43352","Nita","Lowey"
"4281288","Hon. Carolyn Maloney","43355","Carolyn","Maloney"
"4281369","Hon. James McGovern","43363","James","McGovern"
"4281656","Hon. Charles A. Gonzalez","43392","Charles","Gonzalez"
"4281707","Hon. John Larson","43397","John","Larson"
"4281766","Hon. Greg Meeks","43403","Greg","Meeks"
"4281835","Hon. Jan Schakowsky","43410","Jan","Schakowsky"
"4282085","Hon. Lloyd Doggett","43435","Lloyd","Doggett"
"4282254","Hon. William Jefferson","43452","William","Jefferson"
"4282305","Hon. Barbara Lee","43457","Barbara","Lee"
"4282315","Hon. Edward Markey","43458","Edward","Markey"
"4282364","Hon. Michael McNulty","43463","Michael","McNulty"
"4282436","Hon. Alan Mollohan","43470","Alan","Mollohan"
"4282465","Hon. John Murtha","43473","John","Murtha"
"4282497","Hon. James Oberstar","43476","James","Oberstar"
"4282508","Hon. John Olver","43477","John","Olver"
"4282549","Hon. Nancy Pelosi","43481","Nancy","Pelosi"
"4282590","Hon. Earl Pomeroy","43485","Earl","Pomeroy"
"4282601","Hon. David Price","43486","David","Price"
"4282621","Hon. Charles Rangel","43488","Charles","Rangel"
"4282760","Hon. Jose Serrano","43502","Jose","Serrano"
"4282791","Hon. Ike Skelton","43505","Ike","Skelton"
"4282943","Hon. John Tanner","43520","John","Tanner"
"4282954","Hon. Ellen Tauscher","43521","Ellen","Tauscher"
"4282985","Hon. Bennie Thompson","43524","Bennie","Thompson"
"4283116","Hon. Peter Visclosky","43537","Peter","Visclosky"
"4283226","Hon. Lynn Woolsey","43548","Lynn","Woolsey"
"4283345","Hon. David Obey","43560","David","Obey"
"4283376","Hon. Ed Pastor","43563","Ed","Pastor"
"4283435","Hon. Brad Sherman","43569","Brad","Sherman"
"4283447","Hon. Vic Snyder","43570","Vic","Snyder"
"4283458","Hon. John Spratt, Jr.","43571","John","Spratt"
"4301111","Hon. Rush Holt","45304","Rush","Holt"
"4313796","Hon. John H Lewis","46540","John","Lewis"
"4323006","Hon. Lucille Roybal-Allard","47446","Lucille","Roybal-Allard"
"4323867","Hon. Lois Capps","47528","Lois","Capps"
"4327632","Hon. Michael Capuano","47892","Michael","Capuano"
"4332927","Hon. Joseph Crowley","48404","Joseph","Crowley"
"4368816","Hon. Rick Larsen","51807","Rick","Larsen"
"4388246","Hon. Bill Pascrell","53690","Bill","Pascrell"
"4394093","Hon. Mike Ross","54264","Mike","Ross"
"4467919","Hon. Joe Baca","61476","Joe","Baca"
"4601280","Hon. Mike Honda","74081","Mike","Honda"
"4612412","Hon. Hilda Solis","75692","Hilda","Solis"
"3995246","Hon. Jim McDermott","126298","Jim","McDermott"
"4005815","Hon. Kendrick Meek","152862","Kendrick","Meek"
"4011387","Hon. Diane E. Watson","164671","Diane","Watson"
"4012717","Hon. Rahm Emanuel","166609","Rahm","Emanuel"
"4013067","Hon. David Scott","167052","David","Scott"
"4014147","Hon. Tim Ryan","169632","Tim","Ryan"
"4017257","Hon. Eleanor Holmes Norton","173549","Eleanor Holmes","Norton"
"4017285","Hon. Sheila Jackson Lee","173576","Sheila Jackson","Lee"
"4250082","Hon. John Barrow","403417","John","Barrow"
"4375464","Hon. Adam Smith","524276","Adam","Smith"
"4375476","Hon. Betty McCollum","524287","Betty","McCollum"
"4375483","Hon. Mark Udall","524295","Mark","Udall"
"4375498","Hon. Tim Bishop","524312","Tim","Bishop"
"4375509","Hon. Chris Van Hollen, Jr.","524323","Chris","Van Hollen"
"4375510","Hon. Donald Payne","524324","Donald","Payne"
"4400294","Hon. Doris O. Matsui","548816","Doris","Matsui"
"4406861","Hon. Adam Schiff","555584","Adam","Schiff"
"4406936","Hon. Ben Chandler","555670","Ben","Chandler"
"4424047","Hon. Bart Stupak","572754","Bart","Stupak"
"4425624","Hon. Rick Boucher","574384","Rick","Boucher"
"4425626","Hon. Robert E. Andrews","574386","Robert","Andrews"
"4425627","Hon. Rosa DeLauro","574387","Rosa","DeLauro"
"4425629","Hon. Melvin Watt","574389","Melvin","Watt"
"4425630","Hon. Albert Wynn","574390","Albert","Wynn"
"4425635","Hon. Henry Waxman","574395","Henry","Waxman"
"4425665","Hon. William Delahunt","574426","William","Delahunt"
"4425671","Hon. Jim Matheson","574432","Jim","Matheson"
"4425715","Hon. Charles Melancon","574476","Charles","Melancon"
"4432072","Hon. Stephen F. Lynch","580495","Stephen","Lynch"
"4432083","Hon. Dennis Cardoza","580505","Dennis","Cardoza"
"4432098","Hon. Michael Michaud","580521","Michael","Michaud"
"4432152","Hon. Carolyn Kilpatrick","580574","Carolyn","Kilpatrick"
"4432173","Hon. John Conyers, Jr.","580594","John","Conyers"
"4453043","Hon. Linda Sanchez","600806","Linda","Sanchez"
"4486935","Hon. Sam Farr","632446","Sam","Farr"
"4486937","Hon. Steve J. Israel","632448","Steve","Israel"
"4493451","Hon. Carolyn McCarthy","638515","Carolyn","McCarthy"
"4493488","Hon. Mike Doyle","638550","Mike","Doyle"
"4493813","Hon. Jim Langevin","638856","Jim","Langevin"
"4493883","Hon. Marion Berry","638922","Marion","Berry"
"4493907","Hon. Earl Blumenauer","638944","Earl","Blumenauer"
"4512243","Hon. Shelley Berkley","656114","Shelley","Berkley"
"4539951","Hon. Susan Davis","682359","Susan","Davis"
"4543475","Hon. Nydia M. Velazquez","685747","Nydia","Velazquez"
"4554790","Hon. C.A. Dutch Ruppersberger","696587","C.A. Dutch","Ruppersberger"
"4554908","Hon. Juanita Millender-McDonald","696704","Juanita","Millender-McDonald"
"4555297","Hon. Maxine Waters","697080","Maxine","Waters"
"4584269","Hon. John Salazar","724773","John","Salazar"
"4584327","Hon. Tom Udall","724829","Tom","Udall"
"4584328","Hon. Mike McIntyre","724831","Mike","McIntyre"
"4584329","Hon. Ruben E. Hinojosa","724832","Ruben","Hinojosa"
"4584377","Hon. Maurice Hinchey","724880","Maurice","Hinchey"
"4584414","Hon. Darlene Hooley","724917","Darlene","Hooley"
"4599631","Hon. Norm Dicks","739299","Norm","Dicks"
"4610054","Hon. Louise Slaughter","753545","Louise","Slaughter"
"4610055","Hon. Chaka Fattah","753546","Chaka","Fattah"
"4610056","Hon. Luis Gutierrez","753547","Luis","Gutierrez"
"4610057","Hon. Sander Levin","753548","Sander","Levin"
"4610060","Hon. Pete Stark","753550","Pete","Stark"
"4610061","Hon. Collin Peterson","753551","Collin","Peterson"
"4610062","Hon. Richard Neal","753552","Richard","Neal"
"4610063","Hon. Allen Boyd","753553","Allen","Boyd"
"4610065","Hon. Marcy Kaptur","753555","Marcy","Kaptur"
"4610066","Hon. Eliot Engel","753556","Eliot","Engel"
"4610067","Hon. Frank Pallone","753557","Frank","Pallone"
"4610068","Hon. Bobby Rush","753558","Bobby","Rush"
"4610069","Hon. Gary Ackerman","753559","Gary","Ackerman"
"4610071","Hon. Melissa Bean","753561","Melissa","Bean"
"4610072","Hon. Julia Carson","753562","Julia","Carson"
"4610073","Hon. Lacy Clay","753563","Lacy","Clay"
"4610074","Hon. Emanuel Cleaver","753564","Emanuel","Cleaver"
"4610075","Hon. Artur Davis","753565","Arhtur","Davis"
"4610076","Hon. Al Green","753566","Al","Green"
"4610077","Hon. Brad Miller","753567","Brad","Miller"
"4610078","Hon. Dennis Moore","753568","Dennis","Moore"
"4610082","Hon. Leonard Boswell","753571","Leonard","Boswell"
"4610083","Hon. Donna Christian-Christensen","753572","Donna","Christian-Christense"
"4610084","Hon. Jerry Costello","753573","Jerry","Costello"
"4610086","Hon. Eni Faleomavaega","753575","Eni","Faleomavaega"
"4610087","Hon. Dennis Kucinich","753577","Dennis","Kucinich"
"4610088","Hon. Grace Napolitano","753578","Grace","Napolitano"
"4610089","Hon. Solomon Ortiz","753579","Solomon","Ortiz"
"4610091","Hon. Silvestre Reyes","753581","Silvestre","Reyes"
"4610092","Hon. Gene Taylor","753582","Gene","Taylor"
"4610093","Hon. Loretta Sanchez","753583","Loretta","Sanchez"
"4610094","Hon. Bobby Scott","753584","Bobby","Scott"
"4610095","Hon. Madeleine Bordallo","753585","Madeleine","Bordallo"
"4610096","Hon. Dan Boren","753586","Dan","Boren"
"4610097","Hon. Robert Brady","753587","Robert","Brady"
"4610098","Hon. GK Butterfield","753588","GK","Butterfield"
"4610099","Hon. Russ Carnahan","753589","Russ","Carnahan"
"4610101","Hon. Jim Costa","753590","Jim","Costa"
"4610102","Hon. Henry Cuellar","753591","Henry","Cuellar"
"4610103","Hon. Lincoln Davis","753592","Lincoln","Davis"
"4610104","Hon. Raul Grijalva","753593","Raul","Grijalva"
"4610105","Hon. Stephanie Herseth","753594","Stephanie","Herseth"
"4610106","Hon. Brian Higgins","753595","Brian","Higgins"
"4610107","Hon. Tim Holden","753596","Tim","Holden"
"4610108","Hon. Dan Lipinski","753597","Dan","Lipinski"
"4610109","Hon. Jim Marshall","753598","Jim","Marshall"
"4610112","Hon. Allyson Schwartz","753600","Allyson","Schwartz"
"4610113","Hon. Anthony Weiner","753601","Anthony","Weiner"
"4839996","Michael Arcuri","0","Michael","Arcuri"
"4493454","Jason Altmire","638518","Jason","Altmire"
"4840278","Nancy Boyda","0","Nancy","Boyda"
"4041777","Bruce L. Braley","19659","Bruce","Braley"
"4840282","Chris Carney","0","Chris","Carney"
"4610489","Katherine A. Castor","75416","Katherine","Castor"
"4840287","Yvette Clarke","0","Yvette","Clarke"
"4840288","Hon. Steve Cohen","0","Steve","Cohen"
"4840289","Hon. Joe Courtney","0","Joe","Courtney"
"4840290","Hon. Keith Ellison","0","Keith","Ellison"
"4840291","Hon. Gabrielle Giffords","0","Gabrielle","Giffords"
"4840292","Hon. Joe Donnelly","0","Joe","Donnelly"
"4840293","Hon. Brad Ellsworth","0","Brad","Ellsworth"
"4840294","Hon. Kirsten Gillibrand","0","Kirsten","Gillibrand"
"4840295","Hon. Phil Hare","0","Phil","Hare"
"4278017","Hon. Baron Hill","43029","Baron","Hill"
"4840296","Hon. Paul Hodes","0","Paul","Hodes"
"4840297","Hon. Steve Kagen","0","Steve","Kagen"
"4281193","Hon. Nick Lampson","43346","Nick","Lampson"
"4840298","Hon. Hirono Mazie","0","Hirono","Mazie"
"4840299","Hon. Hank Johnson","0","Hank","Johnson"
"4840300","Hon. Ron Klein","0","Ron","Klein"
"4840301","Hon. David Loebsack","0","David","Loebsack"
"4840302","Hon. Tim Mahoney","0","Tim","Mahoney"
"3988863","Harry Mitchell","1117719","Harry","Mitchell"
"4840303","Hon. Patrick Murphy","0","Patrick","Murphy"
"4840304","Hon. John Sarbanes","0","John","Sarbanes"
"4840305","Hon. Jerry McNerney","0","Jerry","McNerney"
"4840306","Hon. Chris Murphy","0","Chris","Murphy"
"4283608","Edward Perlmutter","43586","Edward","Perlmutter"
"4840307","Hon. Joe Sestak","0","Joe","Sestak"
"4840308","Hon. Carol Shea-Porter","0","Carol","Shea-Porter"
"4840309","Hon. Zachary Space","0","Zachary","Space"
"4840310","Tim Walz","0","Tim","Walz"
"4840311","Hon. Charlie Wilson","0","Charlie","Wilson"
"4840312","Hon. Heath Shuler","0","Heath","Shuler"
"4840313","Hon. Betty Sutton","0","Betty","Sutton"
"4840314","Hon. Peter Welch","0","Peter","Welch"
"4840315","Hon. John Yarmuth","0","John","Yarmuth"
"4118538","Hon. Brian Baird","27100","Brian","Baird"
"4840316","Hon. James Clyburn","0","James","Clyburn"
"4840317","Hon. Robert Cramer","0","Robert","Cramer"
"4280225","Hon. Elijah Cummings","43251","Elijah","Cummings"
"4840318","Hon. John Hall","0","John","Hall"
"4279326","Hon. Jay Inslee","43161","Jay","Inslee"
"4280697","Hon. Jesse Jackson, Jr.","43297","Jesse","Jackson"
"4280729","Hon. Eddie Bernice Johnson","43300","Eddie Bernice","Johnson"
"4313037","Hon. Stephanie Tubbs Jones","46463","Stephanie","Tubbs Jones"
"4780019","Gwendolynne Moore","945608","Gwendolynne","Moore"
"4840711","Hon. James Moran","0","James","Moran"
"4282476","Hon. Jerrold Nadler","43474","Jerrold","Nadler"
"4283688","Hon. Ciro Rodriguez","43594","Ciro","Rodriguez"
"3926585","Steven Rothman","1057835","Steven","Rothman"
"4840712","Hon. Albio Sires","0","Albio","Sires"
"4406879","Debbie Wasserman Schultz","555611","Debbie","Wasserman Schultz"
